,trip_id,start_time,stop_time,bike_id,trip_dur,from_station_id,from_station_name,to_station_id,to_station_name,usertype
42,64332424,2019-01-31 21:43:00,2019-01-31 21:56:00,70104,769,49301.0,Centre Ave & N Craig St,49301.0,Centre Ave & N Craig St,Subscriber
43,64332537,2019-01-31 23:01:00,2019-01-31 23:33:00,70104,1883,49301.0,Centre Ave & N Craig St,49431.0,Penn Ave & Negley Ave,Subscriber
44,64338738,2019-02-01 07:13:00,2019-02-01 07:25:00,70548,737,49611.0,24th St & Smallman St,49671.0,9th St & Penn Ave,Subscriber
45,64340002,2019-02-01 08:12:00,2019-02-01 08:15:00,70404,137,1004.0,First Ave & B St (T Station),1004.0,First Ave & B St (T Station),Subscriber
46,64340138,2019-02-01 08:18:00,2019-02-01 08:19:00,70404,24,1004.0,First Ave & B St (T Station),1004.0,First Ave & B St (T Station),Subscriber
47,64340216,2019-02-01 08:22:00,2019-02-01 17:31:00,70404,32964,1004.0,First Ave & B St (T Station),1004.0,First Ave & B St (T Station),Subscriber
48,64340300,2019-02-01 08:25:00,2019-02-01 08:35:00,70089,546,49621.0,14th St & Penn Ave,1001.0,Forbes Ave & Market Square,Subscriber
49,64340578,2019-02-01 08:38:00,2019-02-01 08:51:00,70012,800,1027.0,Shady Ave & Ellsworth Ave,1023.0,Liberty Ave & Baum Blvd,Subscriber
50,64342536,2019-02-01 10:13:00,2019-02-01 10:21:00,70019,475,1047.0,S 22nd St & E Carson St,1045.0,S 27th St & Sidney St. (Southside Works),Customer
52,64346340,2019-02-01 13:22:00,2019-02-01 14:05:00,70449,2609,1051.0,Transit,1061.0,33rd St and Penn Ave,Customer
53,64347010,2019-02-01 14:03:00,2019-02-01 17:04:00,70020,10880,1050.0,Healthy Ride Hub,1050.0,Healthy Ride Hub,Customer
54,64347637,2019-02-01 14:45:00,2019-02-01 14:58:00,70352,815,1056.0,Wood St & Sixth Ave,49691.0,Liberty Ave & 6th St,Subscriber
55,64348165,2019-02-01 15:29:00,2019-02-01 16:31:00,70548,3713,49671.0,9th St & Penn Ave,49671.0,9th St & Penn Ave,Subscriber
56,64348301,2019-02-01 15:40:00,2019-02-01 15:48:00,70351,502,1017.0,21st St & Penn Ave,1010.0,10th St & Penn Ave (David L. Lawrence Convention Center),Customer
57,64348588,2019-02-01 16:13:00,2019-02-02 09:33:00,70416,62431,1050.0,Healthy Ride Hub,1050.0,Healthy Ride Hub,Subscriber
58,64348857,2019-02-01 16:48:00,2019-02-01 16:55:00,70319,422,49621.0,14th St & Penn Ave,49611.0,24th St & Smallman St,Subscriber
59,64348883,2019-02-01 16:51:00,2019-02-01 17:34:00,70249,2549,1099.0,Forbes Ave & S Craig St,1004.0,First Ave & B St (T Station),Customer
60,64349377,2019-02-01 17:52:00,2019-02-01 18:04:00,70627,734,1045.0,S 27th St & Sidney St. (Southside Works),1047.0,S 22nd St & E Carson St,Customer
62,64350017,2019-02-01 19:17:00,2019-02-01 19:26:00,70527,551,1002.0,Third Ave & Wood St,1049.0,S 12th St & E Carson St,Subscriber
63,64350107,2019-02-01 19:31:00,2019-02-01 19:39:00,70011,462,1023.0,Liberty Ave & Baum Blvd,1029.0,Alder St & S Highland Ave,Subscriber
64,64350547,2019-02-01 20:55:00,2019-02-01 23:40:00,70399,9862,49651.0,Grant St & Strawberry Way,49501.0,Penn Ave & 39th St,Customer
65,64350721,2019-02-01 21:37:00,2019-02-01 21:42:00,70130,283,1029.0,Alder St & S Highland Ave,1033.0,Ivy St & Walnut St   ,Subscriber
66,64356711,2019-02-02 10:15:00,2019-02-02 10:15:00,70550,17,1050.0,Healthy Ride Hub,1050.0,Healthy Ride Hub,Subscriber
67,64356731,2019-02-02 10:16:00,2019-02-02 10:16:00,70550,16,1050.0,Healthy Ride Hub,1050.0,Healthy Ride Hub,Subscriber
68,64356751,2019-02-02 10:17:00,2019-02-02 10:17:00,70550,13,1050.0,Healthy Ride Hub,1050.0,Healthy Ride Hub,Subscriber
